Connected as mbenicios@minsait.com
Connected to... ColOfertasBrasilPro

botcomponentid                       botcomponent_workflowid              bc.name                                   bc.componenttype wf.statuscode workflowid                           wf.statecode wf.name                                                   bc.schemaname
d696078b-27d2-4fa7-9eb8-16d165b24d71 ed560784-dee3-f011-8544-7c1e52611093 Ticket Information                        Tema (V2)        Activado      d441ccaa-33d2-ef11-8eea-000d3a5c1e68 Activado     Adaptive Card | Ticket Information                        cat_adaptiveCardGallery.topic.TicketInformation
f24deb1b-e9ff-408c-b4f9-90f6e3df6f38 4984d1e9-d041-f111-88b5-6045bdf42cae GF_QA_Reagendar-SolicitacaoFerias         Tema (V2)        Activado      e9df82ce-cc41-f111-88b5-6045bdf42cae Activado     GF_QA_Reagendar-SolicitacaoFerias                         gstf_GestaoFriasMVPQA.action.GF_QA_Reagendar-SolicitacaoFerias
20b12445-23d6-4b92-8720-81c30304a8f6 9b31935d-dd14-f111-8341-6045bdf42cae Aprovar-SolicitacaoFerias                 Tema (V2)        Activado      a8e71266-823d-4c96-8b93-1c1e6ddf6bdf Activado     Aprovar-SolicitacaoFerias                                 copilots_header_crbdf_agent1.action.Aprovar-SolicitacaoFerias
70e6386e-ed4c-4cc6-8d1a-88a250d9a057 7f039336-dd14-f111-8341-6045bdf42cae Http -> Obter itens                       Tema (V2)        Activado      1f967db5-22fb-f011-8406-7ced8d955c6c Activado     Http -> Obter itens                                       copilots_header_crbdf_agent1.action.Http-Obteritens
bd507ab1-7455-400e-8379-153ce34427f8 cd7233c3-a350-f111-bec7-000d3abc5cc6 PM0_PA_OpsFailureHandling                 Tema (V2)        Activado      9531fbc7-a250-f111-bec7-000d3abc5cc6 Activado     PM0_PA_OpsFailureHandling                                 pmo_AssistentePMO_V2.action.PM0_PA_OpsFailureHandling
0956d0c0-05f1-429c-8893-6352a927d535 c57233c3-a350-f111-bec7-000d3abc5cc6 PM0_PA_Card_ListarTarefas                 Tema (V2)        Activado      e0e3c6b0-a250-f111-bec7-000d3abc5cc6 Activado     PM0_PA_Card_ListarTarefas                                 pmo_AssistentePMO_V2.action.PM0_PA_Card_ListarTarefas
0635831a-6b13-45d6-b10e-983fcc63eefe c27233c3-a350-f111-bec7-000d3abc5cc6 PM0_PA_Card_ResumoExecutivoPortfolio      Tema (V2)        Activado      8333bd91-a250-f111-bec7-000d3abc5cc6 Activado     PM0_PA_Card_ResumoExecutivoPortfolio                      pmo_AssistentePMO_V2.action.PM0_PA_Card_ResumoExecutivoPortfolio
beb83cc5-c09c-4cd3-a279-20846686ea3e 48b72cbd-a350-f111-bec7-000d3abc5cc6 PM0_PA_Card_AtualizarStatus               Tema (V2)        Activado      1721e0a3-a250-f111-bec7-000d3abc5cc6 Activado     PM0_PA_Card_AtualizarStatus                               pmo_AssistentePMO_V2.action.PM0_PA_Card_AtualizarStatus
5e548a07-02ba-4bd6-97d0-0184af1d5e8b 59221d70-ca4c-f111-bec6-000d3a2b52ba PedirDecisao                              Tema (V2)        Activado      feb79d54-c64c-f111-bec7-7ced8d955c6c Activado     PMO_PA_PedirDecisaoBot                                    pmo_AssistentePMO_V2.topic.PedirDecisao
348dd956-64af-4d01-a10d-74ea0453afa7 8cf262ee-683f-f111-88b5-7ced8d955c6c GF_QA_Get-SolicitacoesPendentes           Tema (V2)        Activado      e387afeb-743d-f111-88b5-6045bdf42cae Activado     GF_QA_Get-SolicitacoesPendentes                           gstf_GestaoFriasMVPQA.action.GF_QA_Get-SolicitacoesPendentes
e505fcc4-7552-463d-bb0e-df416bd64b23 711ffe67-683f-f111-88b5-7ced8d955c6c GF_QA_Get-MinhasSolicitacoes              Tema (V2)        Activado      6306232c-753d-f111-88b5-6045bdf42cae Activado     GF_QA_Get-MinhasSolicitacoes                              gstf_GestaoFriasMVPQA.action.GF_QA_Get-MinhasSolicitacoes
0322f92b-72eb-49bb-882d-f4f5b4a155c7 74b49e82-dd14-f111-8341-7ced8d955c6c Get-MinhasSolicitacoes                    Tema (V2)        Activado      3347108a-2ecd-4ce7-9d7a-2a36d2980593 Activado     Get-MinhasSolicitacoes                                    copilots_header_crbdf_agent1.action.Get-MinhasSolicitacoes
25b19fb5-39c9-4c6d-91d7-10f1b27e8f86 56f00f76-dd14-f111-8341-7ced8d955c6c Criar-SolicitacaoFerias                   Tema (V2)        Activado      b4c867cf-097f-4e21-87e8-55ecf239975c Activado     Criar-SolicitacaoFerias                                   copilots_header_crbdf_agent1.action.Criar-SolicitacaoFerias
947ec1c9-f721-4bfa-ac88-07ada8e14d41 fba404a3-dee3-f011-8544-7c1e52611093 Approval Request                          Tema (V2)        Activado      66b343c7-63ce-ef11-8eea-000d3a5c1e68 Activado     Adaptive Card | Approval Request                          cat_adaptiveCardGallery.topic.ApprovalRequest
ae3ae469-6ae5-49ad-8de3-bb760878301b fa7dbd9c-dee3-f011-8544-7c1e52611093 Product Return                            Tema (V2)        Activado      5130712d-59d2-ef11-8eea-000d3a5c1e68 Activado     Adaptive Card | Product Return                            cat_adaptiveCardGallery.topic.ProductReturn
947ec1c9-f721-4bfa-ac88-07ada8e14d41 fb392f90-dee3-f011-8544-7c1e52611093 Approval Request                          Tema (V2)        Activado      d06e9f82-b2d7-ef11-a730-6045bd00cb12 Activado     Adaptive Card | Approval Request Change Id                cat_adaptiveCardGallery.topic.ApprovalRequest
318f5034-a8d5-4a02-a27f-452806999ba3 e4392f90-dee3-f011-8544-7c1e52611093 Incident Report                           Tema (V2)        Activado      b2199f54-3dd2-ef11-8eea-000d3a5c1e68 Activado     Adaptive Card | Incident Report                           cat_adaptiveCardGallery.topic.IncidentReport
d9a16f70-255d-4a8f-b385-567da7fa7eb0 3b021a8a-dee3-f011-8544-7c1e52611093 Event Registration                        Tema (V2)        Activado      be974926-47d2-ef11-8eea-000d3a5c1e68 Activado     Adaptive Card | Event Registration                        cat_adaptiveCardGallery.topic.EventRegistration
1a22b8c0-813a-49fa-a73b-bd6b51a6b275 a5560784-dee3-f011-8544-7c1e52611093 Scheduling Form                           Tema (V2)        Activado      61dc8bec-f1d3-ef11-a730-6045bd00cb12 Activado     Adaptive Card | Schedule Form                             cat_adaptiveCardGallery.topic.SchedulingForm
6d8d66cd-16d4-4d5c-a4e9-59d85fc58e4d 1b807879-943f-f111-88b5-6045bdf42cae GF_QA_Criar-SolicitacaoFerias             Tema (V2)        Activado      95b028f9-713d-f111-88b5-000d3abc5cc6 Activado     GF_QA_Criar-SolicitacaoFerias                             gstf_GestaoFriasMVPQA.action.GF_QA_Criar-SolicitacaoFerias
e392b340-f501-4000-b3f1-45da13760308 706f07d2-9b3f-f111-88b5-002248894c7b Aprovar-SolicitacaoFerias                 Tema (V2)        Activado      98e13f15-3a3d-f111-88b5-6045bdf42cae Activado     GF_QA_Aprovar-SolicitacaoFerias                           gstf_GestaoFriasMVPQA.action.Aprovar-SolicitacaoFerias
3f9abdf2-8801-4602-83dd-002a31f0b53e ca7233c3-a350-f111-bec7-000d3abc5cc6 PM0_PA_Card_CriarTarefa                   Tema (V2)        Activado      7f662db7-a250-f111-bec7-000d3abc5cc6 Activado     PM0_PA_Card_CriarTarefa                                   pmo_AssistentePMO_V2.action.PM0_PA_Card_CriarTarefa
f6afac82-ec2b-47fb-a3d6-4aebad708702 c37233c3-a350-f111-bec7-000d3abc5cc6 PM0_PA_Card_AtualizarTarefa               Tema (V2)        Activado      7c6300c2-a250-f111-bec7-000d3abc5cc6 Activado     PM0_PA_Card_AtualizarTarefa                               pmo_AssistentePMO_V2.action.PM0_PA_Card_AtualizarTarefa
f50f3254-0304-48dd-b1c2-2271029c29df 4083b1ba-6c4d-f111-bec7-000d3abc5cc6 ExcluirTarefa                             Tema (V2)        Activado      70b39334-5926-4fb1-bd22-f10bd99f0f6d Activado     PMO_PA_ExcluirTarefa                                      pmo_AssistentePMO_V2.topic.ExcluirTarefa
53ff7b57-b742-4882-a0ff-3ab2226f5697 a56a6ab4-6c4d-f111-bec7-000d3abc5cc6 ExcluirProjeto                            Tema (V2)        Activado      16fbe313-2edc-406e-ad7f-d08cee0edc43 Activado     PMO_PA_ExcluirProjeto                                     pmo_AssistentePMO_V2.topic.ExcluirProjeto
ec4416d0-0744-4e8c-b937-aae4ad9c605b a9bc1c76-ca4c-f111-bec6-000d3a2b52ba AtualizarStatus                           Tema (V2)        Activado      c11a165b-c64c-f111-bec7-7ced8d9559c1 Activado     PMO_PA_AtualizarStatus                                    pmo_AssistentePMO_V2.topic.AtualizarStatus
ad026f7b-5577-42bf-a246-363b05d71082 35a3557c-ca4c-f111-bec6-000d3a2b52ba RegistrarBloqueio                         Tema (V2)        Activado      3ec37952-c64c-f111-bec7-000d3abc5cc6 Activado     PMO_PA_RegistrarBloqueioBot                               pmo_AssistentePMO_V2.topic.RegistrarBloqueio
94c521e4-408d-4fa2-9854-34c4fbf2f311 77af1fd9-c3fc-f011-8406-000d3abc5cc6 Consultar Saldo                           Tema (V2)        Borrador      b3e7723d-f1fb-f011-8406-6045bdf42cae Borrador     GF_QA_VT_Consulta_Saldo                                   copilots_header_crbdf_agent1.topic.ConsultarSaldo
d7f6785d-a7b9-4b52-a7cd-c135c90c5efb bc8625c5-50f3-f011-8406-000d3abc5cc6 Approve/Reject/View Leave Requests        Tema (V2)        Activado      b5c91074-c727-ef11-840a-7c1e520251fa Activado     Leave Management - Execute Command                        mpa_LeaveManagement.topic.ApproveRejectViewLeaveRequests
c3af736e-6264-4c6e-b6a3-e102e39d776f a5b629fa-449e-ef11-8a6b-000d3a4a45e3 Search knowledge article private topic    Tema             Borrador      87023c69-962c-ec11-b6e6-000d3a574957 Borrador     Buscar flujo de artículo de conocimientos de Dynamics 365 msdyn_topic_9688398bfc794abe90edab4943d1893f
143f76eb-971a-474c-93c0-4d02c64856fc 8f7997d2-c714-f111-8341-000d3abc5cc6 Solicitar Ferias                          Tema (V2)        Activado      b4c867cf-097f-4e21-87e8-55ecf239975c Activado     Criar-SolicitacaoFerias                                   copilots_header_crbdf_agent1.topic.SolicitarFerias
74c5fdcc-c121-452e-85af-24d3f260b3c7 87bc1c76-ca4c-f111-bec6-000d3a2b52ba ConsultarPortfolio                        Tema (V2)        Activado      39cf292d-c64c-f111-bec7-7ced8d955c6c Activado     PMO_PA_ConsultarPortfolio                                 pmo_AssistentePMO_V2.topic.ConsultarPortfolio
d14610d2-a79c-4926-9122-fa367af3f26e b4a27f6c-154a-f111-bec7-000d3abc5cc6 PMO_PA_AtualizarTarefa                    Tema (V2)        Activado      98408d55-3748-f111-bec7-000d3abc5cc6 Activado     PMO_PA_AtualizarTarefa                                    pmo_AssistentePMO_V2.action.PMO_PA_AtualizarTarefa
e39aa320-9a4b-40d1-b85f-7d0d233ad1da 674cf785-c2fc-f011-8406-000d3abc5cc6 VT_Consulta_Saldo                         Tema (V2)        Borrador      b3e7723d-f1fb-f011-8406-6045bdf42cae Borrador     GF_QA_VT_Consulta_Saldo                                   copilots_header_crbdf_agent1.action.VT_Consulta_Saldo
3efd3b4d-529b-46ec-b0a9-b6ecc54b8d7d 6bbc1c76-ca4c-f111-bec6-000d3a2b52ba ConsultarProjeto                          Tema (V2)        Activado      4a33b53e-c64c-f111-bec7-000d3abc5cc6 Activado     PMO_PA_ConsultarProjeto                                   pmo_AssistentePMO_V2.topic.ConsultarProjeto
9d31a989-2799-4ace-964a-418344958b5e 16a3557c-ca4c-f111-bec6-000d3a2b52ba RegistrarRisco                            Tema (V2)        Activado      ee732d46-c64c-f111-bec7-7ced8d955c6c Activado     PMO_PA_RegistrarRiscoBot                                  pmo_AssistentePMO_V2.topic.RegistrarRisco
8bf6d2a1-7b2e-40e4-b7ef-26d268f17b3b c28625c5-50f3-f011-8406-000d3abc5cc6 Function - Add Leave Request              Tema (V2)        Activado      b5c91074-c727-ef11-840a-7c1e520251fa Activado     Leave Management - Execute Command                        mpa_LeaveManagement.topic.Function-AddLeaveRequest
ca5afc1f-b976-4333-b64b-d5ed26fafd71 80d08dbb-ff3e-f111-88b5-000d3abc5cc6 04_21_2026_GF_QA_VT_Consulta_Saldo_QA     Tema (V2)        Activado      b4772422-8b3d-f111-88b5-6045bdf42cae Activado     04_21_2026_GF_QA_VT_Consulta_Saldo_QA                     gstf_GestaoFriasMVPQA.action.04_21_2026_GF_QA_VT_Consulta_Saldo_QA
81b524b0-2b18-4a72-8639-b9de0e8e7a86 cf71517f-2541-f111-88b5-000d3abc5cc6 GF_QA_Cancelar-SolicitacaoFerias          Tema (V2)        Activado      a581ab64-2541-f111-88b5-000d3abc5cc6 Activado     GF_QA_Cancelar-SolicitacaoFerias                          gstf_GestaoFriasMVPQA.action.GF_QA_Cancelar-SolicitacaoFerias
a8872890-f061-48fc-8cf6-250c88b3d1bf 23068b72-154a-f111-bec7-000d3abc5cc6 PMO_PA_ListarTarefas                      Tema (V2)        Activado      9544f14b-3748-f111-bec7-6045bdf42cae Activado     PMO_PA_ListarTarefas                                      pmo_AssistentePMO_V2.action.PMO_PA_ListarTarefas
9221cdf8-e6b5-4d38-bd42-d3759108fcb2 e4090550-bffb-f011-8406-000d3abc5cc6 RFP_Risk_Analyzer                         Tema (V2)        Borrador      9e4da3d3-98fb-f011-8406-7ced8d955c6c Borrador     RFP_Risk_Analyzer                                         auto_agent_MBtSt.action.RFP_Risk_Analyzer
244bcd14-a69c-4680-9935-66ec6d4bf3b3 72902abf-50f3-f011-8406-000d3abc5cc6 Function - Update or Cancel Leave Request Tema (V2)        Activado      b5c91074-c727-ef11-840a-7c1e520251fa Activado     Leave Management - Execute Command                        mpa_LeaveManagement.topic.Function-UpdateorCancelLeaveRequest

